Opcode, Rnd, Operand A, Operand B, Operand C, Result
ADD, RND_MINUS_INF, 0xbefffc00, 0xb3f80000, 0x7f7fefff, 0x7f7feffe
ADD, RND_MINUS_INF, 0x7f100000, 0xbebfffff, 0x3f800080, 0x7f100000
ADD, RND_PLUS_INF, 0xcbfbffff, 0x40ffffdf, 0x3eff8000, 0xcbfbfffe
ADD, RND_PLUS_INF, 0x00000200, 0x7e800080, 0x4b804000, 0x4b804001
ADD, RND_ZERO, 0xff000008, 0x7f800040, 0x40fff000, 0xff000007
ADD, RND_ZERO, 0x80800fff, 0xb3ffff7f, 0x40f80000, 0x40f7ffff
ADD, RND_ZERO, 0x407ffffb, 0x407fefff, 0x40fffffd, 0x413ffffd
ADD, RND_ZERO, 0x3efe0000, 0x80004000, 0xc080000f, 0xc060401e
ADD, RND_ZERO, 0x4bfffffd, 0x40800001, 0xfffffeff, 0x7fffffff
ADD, RND_ZERO, 0x80800003, 0x80000800, 0xb3f80000, 0xb3f80000
ADD, RND_ZERO, 0x3f00003f, 0x7f00007f, 0x40ffffdf, 0x4107fff3
ADD, RND_ZERO, 0x80000001, 0x00808000, 0x3f100000, 0x3f0fffff
ADD, RND_PLUS_INF, 0xbf77ffff, 0x7f800800, 0xc0fff000, 0xc10f77ff
ADD, RND_PLUS_INF, 0x3fffff7f, 0xcb808000, 0xff900000, 0x7fffffff
ADD, RND_ZERO, 0x33dfffff, 0x7f800040, 0x8080003f, 0x33dffffe
ADD, RND_ZERO, 0x7e8001ff, 0x33fffdff, 0x4bdfffff, 0x7e8001ff
ADD, RND_ZERO, 0x003fffff, 0x3e807fff, 0x3efbffff, 0x3efbffff
ADD, RND_ZERO, 0x33800020, 0x4b81ffff, 0xff0001ff, 0xff0001fe
ADD, RND_ZERO, 0xc0ffffbf, 0xbec00000, 0xbe800010, 0xc103ffe0
ADD, RND_ZERO, 0x007ff000, 0x40fff800, 0xbf7ffbff, 0xbf7ffbfe
ADD, RND_NEAREST, 0xfe80001f, 0x807fffc0, 0x80004000, 0xfe80001f
ADD, RND_NEAREST, 0x4080001f, 0x00000800, 0x7ffeffff, 0x7fffffff
ADD, RND_MINUS_INF, 0xc07c0000, 0x80000001, 0x7effe000, 0x7effdfff
ADD, RND_MINUS_INF, 0x40ffffdf, 0x7efffdff, 0x80fc0000, 0x40ffffde
ADD, RND_MINUS_INF, 0xbe81ffff, 0x80feffff, 0x00000fff, 0xbe81ffff
ADD, RND_MINUS_INF, 0x7f003fff, 0x00fffffe, 0xbf7ff000, 0x7f003ffe
ADD, RND_MINUS_INF, 0x3f80003f, 0x408001ff, 0xbf7ffeff, 0x37bf8000
ADD, RND_MINUS_INF, 0x3ffeffff, 0x7ffffeff, 0x33804000, 0x3ffeffff
ADD, RND_ZERO, 0xcb900000, 0x00000020, 0xbffffe00, 0xcb900000
ADD, RND_ZERO, 0x0083ffff, 0xc03fffff, 0xfe800003, 0xfe800002
ADD, RND_NEAREST, 0x807ffffe, 0xff880000, 0x40803fff, 0x40803fff
ADD, RND_NEAREST, 0x007fc000, 0xff800000, 0xffa00000, 0x7fffffff
ADD, RND_NEAREST, 0xcb800002, 0x80ffdfff, 0xc0840000, 0xcb800004
ADD, RND_NEAREST, 0x007effff, 0xc07fbfff, 0xfeffffef, 0xfeffffef
ADD, RND_PLUS_INF, 0x00800002, 0xff7fdfff, 0xc0000100, 0xc00000ff
ADD, RND_PLUS_INF, 0xbf01ffff, 0x80a00000, 0x3f800200, 0x3efc0802
ADD, RND_NEAREST, 0x4bc00000, 0xc0000800, 0xbffff800, 0x4bbfffff
ADD, RND_NEAREST, 0x3ef00000, 0xff7fff80, 0x407fffbf, 0x408effe0
ADD, RND_NEAREST, 0x000007ff, 0x007ffe00, 0x4080001f, 0x4080001f
ADD, RND_NEAREST, 0x4080007f, 0x4077ffff, 0x7efffffd, 0x7efffffd
ADD, RND_ZERO, 0x7f800010, 0xbee00000, 0x00003fff, 0x7fffffff
ADD, RND_ZERO, 0x7eefffff, 0xbf002000, 0x4bffff7f, 0x7eefffff
ADD, RND_NEAREST, 0x7ff7ffff, 0x7fffefff, 0x3f800000, 0x7fffffff
ADD, RND_NEAREST, 0x40ffff00, 0x33804000, 0x4b810000, 0x4b810004
ADD, RND_MINUS_INF, 0x407fffbf, 0xbffffdff, 0x007ffff8, 0x407fffbf
ADD, RND_MINUS_INF, 0x7eff7fff, 0x00800001, 0x7f0007ff, 0x7f7fc7fe
ADD, RND_ZERO, 0x7f00003f, 0xc08003ff, 0x3f7ffeff, 0x7f00003f
ADD, RND_ZERO, 0xb3efffff, 0x3f800040, 0xc0800400, 0xc0800400
ADD, RND_ZERO, 0x3380000f, 0x00001fff, 0xff800800, 0x7fffffff
ADD, RND_ZERO, 0x80820000, 0x00804000, 0xbf000200, 0xbf000200
ADD, RND_ZERO, 0xbe808000, 0x3f7fffdf, 0x3fffdfff, 0x3fdfbfff
ADD, RND_ZERO, 0xfffffffe, 0x40000004, 0xbf010000, 0x7fffffff
ADD, RND_MINUS_INF, 0xcbfbffff, 0xbf000010, 0x33802000, 0xcbfbffff
ADD, RND_MINUS_INF, 0x7edfffff, 0x33fc0000, 0xc080ffff, 0x7edffffe
ADD, RND_MINUS_INF, 0xc0808000, 0x40000000, 0x7efeffff, 0x7efefffe
ADD, RND_MINUS_INF, 0x00000400, 0x7f7effff, 0xffffffc0, 0x7fffffff
ADD, RND_ZERO, 0xc0800003, 0xc0800007, 0x00800004, 0xc0800002
ADD, RND_ZERO, 0x3efffff0, 0x3effffff, 0x4000001f, 0x4020001d
ADD, RND_MINUS_INF, 0x4b801000, 0xc0000004, 0x7f780000, 0x7f780000
ADD, RND_MINUS_INF, 0x33ffe000, 0xcbfdffff, 0xb3ffff00, 0xae780000
ADD, RND_NEAREST, 0x3f000001, 0x40800800, 0x80820000, 0x3f000001
ADD, RND_NEAREST, 0x3f77ffff, 0x00000003, 0x7f800040, 0x7fffffff
ADD, RND_MINUS_INF, 0x00ffefff, 0x33fffffb, 0x33fff7ff, 0x33fff7ff
